item_id,title,description,url,brand,seller_name,image_url,availability,price,seller_url,return_policy,accepts_returns,return_deadline_in_days,condition,product_category,additional_image_urls,mpn,gtin,group_id,listing_has_variations,variant_dict,shipping_price,is_ads_eligible,is_eligible_search,is_eligible_checkout,ads_metadata,target_countries,store_country
762,Strelitzia nicolai (Oiseau du Paradis blanc) M - Livraison plantes - Plantes vertes Bergamotte,"Strelitzia Stanislas. Strelitzia nicolai (Oiseau du Paradis blanc). Diamètre du pot : 29 cm - Hauteur : Entre 140 et 150 cm (pot inclus) - Le pot contient 3 pieds de Strelitzia. Voyage sous les tropiques. Green vibes only Comment s’occuper de votre Strelitzia Stanislas ? Entretien. Difficulté. Débutant. Arrosage. Fréquent. Exposition. Lumineux. Toxicité Commandez votre Strelitzia Stanislas dès aujourd'hui et recevez une plante d'exception, cultivée avec soin et livrée directement chez vous par Bergamotte. Le cadeau parfait pour soi ou pour un proche !",https://www.bergamotte.fr/livraison-plantes/stanislas,Bergamotte,Bergamotte,https://bergamotte.imgix.net/xzedf9vu5qi4q9gf1wu9eol9coq0?ixlib=rails-4.3.1&w=500&h=500&fit=crop,in_stock,119.90 EUR,https://www.bergamotte.fr,https://www.bergamotte.fr/terms-and-conditions,true,14,new,Maison et jardin > Plantes > Plantes d'extérieur et d'intérieur,https://bergamotte.imgix.net/u2xywljisivvahl5xvhg8dle107r?ixlib=rails-4.3.1&w=500&h=500&fit=crop,762,,,,,0.00 EUR,true,true,false,"{""custom_label_4"": ""new""}",FR,FR
1495,Tribu Emmenagement - Ensemble 5 Plantes Vertes - Livraison Plante 24h France - Idee Cadeau Vegetal,"Tribu Emménagement. Hauteurs : Entre 7 et 130 cm (pot inclus). Facile à vivre. Personnalisation possible Comment s’occuper de votre Tribu Emménagement ? Entretien. Pet-friendly. Arrosage. Fréquent. Exposition. Lumineux. Variétés. Ensemble de 5 plantes. Difficulté. Débutant Commandez votre Tribu Emménagement dès aujourd'hui et recevez une plante d'exception, cultivée avec soin et livrée directement chez vous par Bergamotte. Le cadeau parfait pour soi ou pour un proche ! Livraison a domicile en 24h partout en France ou en 3h a Paris soigneusement emballe Ensemble de 5 plantes vertes : Strelitzia nicolai blanc et Ficus elastica Belize et 3 minis succulentes Hauteurs de 7 a 130 cm - un assortiment ideal pour decorer un nouvel appartement Entretien facile pour debutant : exposition lumineuse sans soleil direct et arrosage adapte a chaque variete Carte message personnalisee offerte - idee cadeau vegetal original pour emmenagement ou pendaison de cremaillere",https://www.bergamotte.fr/livraison-plantes/tribu-emmenagement,Bergamotte,Bergamotte,https://bergamotte.imgix.net/udl4qww2bbpqh72jhxkalxoj0kog?ixlib=rails-4.3.1&w=1000&h=1000&fit=crop,in_stock,179.90 EUR,https://www.bergamotte.fr,https://www.bergamotte.fr/terms-and-conditions,true,14,new,Maison et jardin > Plantes > Plantes d'extérieur et d'intérieur,"https://bergamotte.imgix.net/a2dqs29y0zozi5ovucnmkegty92s?ixlib=rails-4.3.1&w=1000&h=1000&fit=crop,https://bergamotte.imgix.net/2aal0rch4imgk9bvllp08frnztjy?ixlib=rails-4.3.1&w=1000&h=1000&fit=crop,https://bergamotte.imgix.net/qrqhgvbe72trxsmef854m29hk04q?ixlib=rails-4.3.1&w=1000&h=1000&fit=crop,https://bergamotte.imgix.net/cje3juegy209c4t173fsaskjq821?ixlib=rails-4.3.1&w=1000&h=1000&fit=crop,https://bergamotte.imgix.net/i30gwta3q9u972ue8jn45oqcbef7?ixlib=rails-4.3.1&w=500&h=500&fit=crop",1495,,,,,0.00 EUR,true,true,false,"{""custom_label_4"": ""new""}",FR,FR
1511,Bougie Bois de Figuier - Accessoires décoration - Idées cadeaux - Fleuriste Bergamotte,"Cette bougie est une création unique et exclusive pour Bergamotte, créé par un artisan français. Assemblage olfactif : Figues, violette, cyclamen, cèdre blanc Contenance : 180g Production artisanale, fabriquée en France et coulée à la main.",https://www.bergamotte.fr/livraison-accessoires/bougie-bois-de-figuier,Bergamotte,Bergamotte,https://bergamotte.imgix.net/29tpqou03gisd51mol1ihbqkudok?ixlib=rails-4.3.1&w=500&h=500&fit=crop,in_stock,32.90 EUR,https://www.bergamotte.fr,https://www.bergamotte.fr/terms-and-conditions,true,14,new,Arts et loisirs > Fêtes et soirées > Cadeaux,https://bergamotte.imgix.net/m6lwnd23oxud66v8sqr7ou7zk6ch?ixlib=rails-4.3.1&w=500&h=500&fit=crop,1511,,,,,9.90 EUR,true,true,false,,FR,FR
2033,Euphorbia acrurensis - Livraison plantes - Plantes vertes Bergamotte,"Cactus Pablo. Euphorbia acrurensis. Diamètre du pot : 17 cm - Hauteur : Entre 50 et 65 cm (pot inclus) - Chaque plante est unique : sa forme et sa hauteur peuvent varier, photos non contractuelles. Facile à vivre. Personnalisation possible Comment s’occuper de votre Cactus Pablo ? Mise en garde. Entretien. Exposition. Très lumineux. Arrosage. Très léger. Difficulté. Débutant. Toxicité Commandez votre Cactus Pablo dès aujourd'hui et recevez une plante d'exception, cultivée avec soin et livrée directement chez vous par Bergamotte. Le cadeau parfait pour soi ou pour un proche !",https://www.bergamotte.fr/livraison-plantes/pablo,Bergamotte,Bergamotte,https://bergamotte.imgix.net/8ag1khc4kcl2dp53fiexhoys92di?ixlib=rails-4.3.1&w=500&h=500&fit=crop,in_stock,49.90 EUR,https://www.bergamotte.fr,https://www.bergamotte.fr/terms-and-conditions,true,14,new,Maison et jardin > Plantes > Plantes d'extérieur et d'intérieur,https://bergamotte.imgix.net/lh3zc4awih1ebm1zijmjp7eoep92?ixlib=rails-4.3.1&w=500&h=500&fit=crop,2033,,,,,9.90 EUR,true,true,false,"{""custom_label_4"": ""profitable""}",FR,FR
2494,Pachira - Livraison plantes - Plantes vertes Bergamotte,"Pachira James. Pachira. Diamètre du pot : 12 cm - Hauteur : Entre 30 et 40 cm (pot inclus). Facile à vivre. Personnalisation possible Comment s’occuper de votre Pachira James ? Exposition. Lumineux. Producteur. Labellisé MPS-A/GAP/SQ. Arrosage. Fréquent. Difficulté. Débutant. Pet-friendly. Entretien Commandez votre Pachira James dès aujourd'hui et recevez une plante d'exception, cultivée avec soin et livrée directement chez vous par Bergamotte. Le cadeau parfait pour soi ou pour un proche !",https://www.bergamotte.fr/livraison-plantes/james,Bergamotte,Bergamotte,https://bergamotte.imgix.net/h6xks2e0jyoqhixq5tl5nyyqysax?ixlib=rails-4.3.1&w=500&h=500&fit=crop,in_stock,29.90 EUR,https://www.bergamotte.fr,https://www.bergamotte.fr/terms-and-conditions,true,14,new,Maison et jardin > Plantes > Plantes d'extérieur et d'intérieur,https://bergamotte.imgix.net/er1hycj3pfmjhplv5pmry3h06ok5?ixlib=rails-4.3.1&w=500&h=500&fit=crop,2494,,,,,9.90 EUR,true,true,false,"{""custom_label_4"": ""costly""}",FR,FR
2711,Champagne Laurent-Perrier 75cl - Idées cadeaux gourmandes - Fleuriste Bergamotte,"Issue du jus le plus pur du raisin, « La Cuvée » initie au style Laurent‑Perrier. Composé majoritairement de Chardonnay, ce champagne se caractérise par une grande finesse et une belle fraîcheur obtenues après un long vieillissement en caves. Bouteille de Champagne Laurent-Perrier La Cuvée, brut 75cl Origine : Tours-sur-Marne - France Contenance : 75cl (59.87 € / L) Alcool : 12 % Cépage : Chardonnay 53 %, pinot noir 33 %, pinot meunier 14 % Contient des SULFITES Fabriquant : Laurent-Perrier - 32 avenue de Champagne, 51150 Tours-sur-Marne, France. L'abus d'alcool est dangereux pour la santé. A consommer avec modération. La consommation de boissons alcoolisées pendant la grossesse, même en faible quantité, peut avoir des conséquences graves pour la santé de l’enfant. La vente d'alcool aux mineurs est strictement interdite.",https://www.bergamotte.fr/livraison-accessoires/laurent-perrier-champagne,Bergamotte,Bergamotte,https://bergamotte.imgix.net/qi67b0yn89f63omo17e1f85acglf?ixlib=rails-4.3.1&w=500&h=500&fit=crop,in_stock,44.90 EUR,https://www.bergamotte.fr,https://www.bergamotte.fr/terms-and-conditions,true,14,new,"Alimentation, boissons et tabac > Boissons > Boissons alcoolisées > Vin",https://bergamotte.imgix.net/mu4dse0kw5vpfkjam61h93w49zgx?ixlib=rails-4.3.1&w=500&h=500&fit=crop,2711,,,,,9.90 EUR,true,true,false,,FR,FR
2784,Panier à hanses D30 - Accessoires décoration - Idées cadeaux - Fleuriste Bergamotte,Composition : Roseau Ce cache-pot est livré avec une soucoupe en plastique. Composition : Roseau,https://www.bergamotte.fr/pots/panier-a-hanses-d30,Bergamotte,Bergamotte,https://bergamotte.imgix.net/8u7rges9fypwry27sm2chz7v62rk?ixlib=rails-4.3.1&w=500&h=500&fit=crop,in_stock,24.90 EUR,https://www.bergamotte.fr,https://www.bergamotte.fr/terms-and-conditions,true,14,new,Arts et loisirs > Fêtes et soirées > Cadeaux,,2784,,,,,9.90 EUR,true,true,false,,FR,FR
2920,Ananas comosus - Livraison plantes - Plantes vertes Bergamotte,"Ananas Anne. Ananas comosus. Diamètre du pot : 12 cm - Hauteur : Entre 30 et 40 cm (pot inclus). Facile à vivre. Personnalisation possible Comment s’occuper de votre Ananas Anne ? Toxicité. Difficulté. Intermédiaire. Exposition. Très lumineux. Arrosage. Modéré. Entretien. Producteur. Labellisé MPS-A/GAP/SQ Commandez votre Ananas Anne dès aujourd'hui et recevez une plante d'exception, cultivée avec soin et livrée directement chez vous par Bergamotte. Le cadeau parfait pour soi ou pour un proche !",https://www.bergamotte.fr/livraison-plantes/anne,Bergamotte,Bergamotte,https://bergamotte.imgix.net/8x1fv9apv36p3j55nubq31dfa3wm?ixlib=rails-4.3.1&w=500&h=500&fit=crop,in_stock,32.90 EUR,https://www.bergamotte.fr,https://www.bergamotte.fr/terms-and-conditions,true,14,new,Maison et jardin > Plantes > Plantes d'extérieur et d'intérieur,https://bergamotte.imgix.net/nwex7c9c0d077tsc68bb89ndhpym?ixlib=rails-4.3.1&w=500&h=500&fit=crop,2920,,,,,9.90 EUR,true,true,false,"{""custom_label_4"": ""new""}",FR,FR
3183,Monstera minima - Livraison plantes - Plantes vertes Bergamotte,"Monstera Donna. Monstera minima. Diamètre du pot : 12 cm - Hauteur : Entre 20 et 25 cm (pot inclus). Chaque plante est unique : sa forme, sa hauteur et le nombre de ses feuilles peut varier, photos non contractuelles. Petit prix. La valeur sûre Comment s’occuper de votre Monstera Donna ? Arrosage. Régulier. Producteur. Labellisé MPS-A+/GAP. Exposition. Lumineux. Difficulté. Débutant. Entretien. Toxicité Commandez votre Monstera Donna dès aujourd'hui et recevez une plante d'exception, cultivée avec soin et livrée directement chez vous par Bergamotte. Le cadeau parfait pour soi ou pour un proche !",https://www.bergamotte.fr/livraison-plantes/donna,Bergamotte,Bergamotte,https://bergamotte.imgix.net/rhv3gviqjdonad90t08irxoyrl21?ixlib=rails-4.3.1&w=500&h=500&fit=crop,in_stock,29.90 EUR,https://www.bergamotte.fr,https://www.bergamotte.fr/terms-and-conditions,true,14,new,Maison et jardin > Plantes > Plantes d'extérieur et d'intérieur,https://bergamotte.imgix.net/c62hdz8p7xmsfoc6nlhbx32url1a?ixlib=rails-4.3.1&w=500&h=500&fit=crop,3183,,,,,9.90 EUR,true,true,false,"{""custom_label_4"": ""profitable""}",FR,FR
3349,Panier naturel D40 - Accessoires décoration - Idées cadeaux - Fleuriste Bergamotte,Composition : Roseau Ce cache-pot est livré avec une soucoupe en plastique. Composition : Roseau,https://www.bergamotte.fr/pots/panier-naturel-d40,Bergamotte,Bergamotte,https://bergamotte.imgix.net/hu6jcmz515xmyn8vez4yuud2qtmd?ixlib=rails-4.3.1&w=500&h=500&fit=crop,in_stock,29.90 EUR,https://www.bergamotte.fr,https://www.bergamotte.fr/terms-and-conditions,true,14,new,Arts et loisirs > Fêtes et soirées > Cadeaux,,3349,,,,,9.90 EUR,true,true,false,,FR,FR
